timestamp,code,value,volume,turn
2020-03-11,300455,16,24574470,4.9107
2020-03-12,300455,15.2,11398064,2.2776
2020-03-13,300455,15.05,12957216,2.5892
2020-03-16,300455,13.73,13662890,2.7302
2020-03-17,300455,13.78,12638492,2.5255
2020-03-18,300455,13.49,11356032,2.2692
2020-03-19,300455,13.86,13126963,2.6231
2020-03-20,300455,13.69,9126441,1.8237
2020-03-23,300455,12.8,9819458,1.9622
2020-03-24,300455,13.1,9129219,1.8243
2020-03-25,300455,13.24,8002562,1.5991
2020-03-26,300455,13.06,7986099,1.5958
2020-03-27,300455,12.87,7847807,1.5682
2020-03-30,300455,12.59,10400461,2.0783
2019-06-03,300462,15.47,2949098,3.811563
2019-06-04,300462,14.96,2466845,3.188275
2019-06-05,300462,16.46,4184505,5.408266
2019-06-06,300462,16.01,11718597,15.145707
2019-06-10,300462,16.61,7456568,9.637245
2019-06-11,300462,16.93,7988768,10.325087
2019-06-12,300462,16.69,5444101,7.036231
2019-06-13,300462,16.61,4145500,5.357854
2019-06-14,300462,15.76,4291497,5.546548
2019-06-17,300462,16.03,2307096,2.981807
2019-06-18,300462,16.44,4256384,5.501166
2019-06-19,300462,16.62,6021836,7.782925
2019-06-20,300462,16.63,4584367,5.925068
2019-06-21,300462,17.28,8799204,11.372536
2019-06-24,300462,19.01,6456468,8.344666
2019-06-25,300462,17.84,10447304,13.502624
2019-06-26,300462,17.7,6091995,7.873602
2019-06-27,300462,18.21,7726100,9.985602
2019-06-28,300462,18.17,6279000,8.115297
2019-07-01,300462,19.07,9972697,12.889218
2019-07-02,300462,18.59,14791646,19.117471
2019-07-03,300462,19.24,12251799,15.834844
2019-07-04,300462,20.2,13153898,17.000763
2019-07-05,300462,22.22,16246432,20.99771
2019-07-08,300462,21.5,24594548,31.787237
2019-07-09,300462,20.2,16411737,21.211358
2019-07-10,300462,20.21,9720531,12.563306
2019-07-11,300462,19.47,8251428,10.664563
2019-07-12,300462,19.55,6223295,8.043301
2019-07-15,300462,20.36,7052652,9.115204
2019-07-16,300462,19.77,5850693,7.561731
2019-07-17,300462,20.75,7703732,9.956693
2019-07-18,300462,21.45,10575851,13.668764
2019-07-19,300462,21.66,7465517,9.648811
2019-07-22,300462,21.85,6089378,7.87022
2019-07-23,300462,23.29,8413968,10.874637
2019-07-24,300462,25.4,11338869,14.654927
2019-07-25,300462,25.4,0,
2019-07-26,300462,22.86,11940322,15.4323
2019-07-29,300462,22.38,7118427,9.200215
2019-07-30,300462,22.95,7068813,9.1361
2019-07-31,300462,23.74,7420419,9.5905
2019-08-01,300462,23.62,7152962,9.2448
2019-08-02,300462,22.68,6365300,8.2268
2019-08-05,300462,23.4,8026153,10.3734
2019-08-06,300462,23.63,7535597,9.7394
2019-08-07,300462,24.09,8041864,10.3937
2019-08-08,300462,24.92,10454674,13.5121
2019-08-09,300462,24.3,7307036,9.444
2019-08-12,300462,24.95,6716501,8.6807
2019-08-13,300462,26.66,11697469,15.1184
2019-08-14,300462,26.54,12641484,16.3385
2019-08-15,300462,27.54,9421936,12.1774
2019-08-16,300462,27.3,7298229,9.4326
2019-08-19,300462,29.11,7951880,10.2774
2019-08-20,300462,28.19,8419055,10.8812
2019-08-21,300462,28.68,6956738,8.9912
2019-08-22,300462,27.91,6662938,8.6115
2019-08-23,300462,27,6485255,8.3819
2019-08-26,300462,27.44,5026799,6.4969
2019-08-27,300462,27.18,5019651,6.4877
2019-08-28,300462,27.69,6154375,7.9542
2019-08-29,300462,27.71,3792429,4.9015
2019-08-30,300462,28.16,7872740,10.1751
2019-09-02,300462,28.69,5597107,7.234
2019-09-03,300462,29.09,6604695,8.5362
2019-09-04,300462,29.93,6847597,8.8502
2019-09-05,300462,29.4,6315319,8.1622
2019-09-06,300462,28.87,5514600,7.1273
2019-09-09,300462,30.46,7486491,9.6759
2019-09-10,300462,29.93,4514028,5.8342
2019-09-11,300462,29.98,4847200,6.2648
2019-09-12,300462,30.43,8713260,11.2615
2019-09-16,300462,30.4,5107000,6.6005
2019-09-17,300462,29.9,3890773,5.0286
2019-09-18,300462,29.98,4311400,5.5723
2019-09-19,300462,29.71,4517556,5.8387
2019-09-20,300462,30.46,4643084,6.001
2019-09-23,300462,31.5,5677741,7.3382
2019-09-24,300462,30.51,5992967,7.7456
2019-09-25,300462,27.46,9578412,12.3796
2019-09-26,300462,25.25,9273464,11.9855
2019-09-27,300462,25.29,4590102,5.9325
2019-09-30,300462,24.91,3230051,4.1747
2019-10-08,300462,24.56,2692967,3.4805
2019-10-09,300462,25.26,3337200,4.3132
2019-10-10,300462,26.76,5587402,7.2214
2019-10-11,300462,26.48,4832897,6.2463
2019-10-14,300462,28.99,7731008,9.9919
2019-10-15,300462,27.41,6848734,8.8516
2019-10-16,300462,27.53,3937014,5.0884
2019-10-17,300462,27.3,3231000,4.1759
2019-10-18,300462,27.3,2743678,3.5461
2019-10-21,300462,26.48,2760940,3.5684
2019-10-22,300462,27.49,4007129,5.179
2019-10-23,300462,28.2,6722830,8.6889
2019-10-24,300462,27.62,4126143,5.3328
2019-10-25,300462,27.9,4117731,5.322
2019-10-28,300462,27.9,3959563,5.1175
2019-10-29,300462,27.2,5254250,6.7909
2019-10-30,300462,26.24,2803447,3.6233
2019-10-31,300462,25.83,2522620,3.2604
2019-11-01,300462,25.97,2429447,3.1399
2019-11-04,300462,25.46,2650315,3.4254
2019-11-05,300462,25.37,2192705,2.834
2019-11-06,300462,25.1,2546167,3.2908
2019-11-07,300462,24.94,1904618,2.4616
2019-11-08,300462,24.92,1743569,2.2535
2019-11-11,300462,24.1,2639532,3.4115
2019-11-12,300462,23.75,2144310,2.7714
2019-11-13,300462,23.5,1911000,2.4699
2019-11-14,300462,24.01,2964829,3.8319
2019-11-15,300462,23.66,2246023,2.9029
2019-11-18,300462,23.5,1668637,2.1566
2019-11-19,300462,24.7,4188380,5.4133
2019-11-20,300462,24.07,2748141,3.5518
2019-11-21,300462,23.9,1764800,2.2809
2019-11-22,300462,23.1,2383376,3.0804
